name,cylinders,binaryClass
chevrolet_chevelle_malibu,8,P
buick_skylark_320,8,P
plymouth_satellite,8,P
amc_rebel_sst,8,P
ford_torino,8,P
ford_galaxie_500,8,P
chevrolet_impala,8,P
plymouth_fury_iii,8,P
pontiac_catalina,8,P
amc_ambassador_dpl,8,P
citroen_ds-21_pallas,4,N
chevrolet_chevelle_concours_(sw),8,P
ford_torino_(sw),8,P
plymouth_satellite_(sw),8,P
amc_rebel_sst_(sw),8,P
dodge_challenger_se,8,P
plymouth_cuda_340,8,P
ford_mustang_boss_302,8,P
chevrolet_monte_carlo,8,P
buick_estate_wagon_(sw),8,P
toyota_corona_mark_ii,4,N
plymouth_duster,6,P
amc_hornet,6,P
ford_maverick,6,P
datsun_pl510,4,N
volkswagen_1131_deluxe_sedan,4,N
peugeot_504,4,N
audi_100_ls,4,N
saab_99e,4,N
bmw_2002,4,N
amc_gremlin,6,P
ford_f250,8,P
chevy_c20,8,P
dodge_d200,8,P
hi_1200d,8,P
datsun_pl510,4,N
chevrolet_vega_2300,4,P
toyota_corona,4,N
ford_pinto,4,P
volkswagen_super_beetle_117,4,N
amc_gremlin,6,P
plymouth_satellite_custom,6,P
chevrolet_chevelle_malibu,6,P
ford_torino_500,6,P
amc_matador,6,P
chevrolet_impala,8,P
pontiac_catalina_brougham,8,P
ford_galaxie_500,8,P
plymouth_fury_iii,8,P
dodge_monaco_(sw),8,P
ford_country_squire_(sw),8,P
pontiac_safari_(sw),8,P
amc_hornet_sportabout_(sw),6,P
chevrolet_vega_(sw),4,P
pontiac_firebird,6,P
ford_mustang,6,P
mercury_capri_2000,4,P
opel_1900,4,N
peugeot_304,4,N
fiat_124b,4,N
toyota_corolla_1200,4,N
datsun_1200,4,N
volkswagen_model_111,4,N
plymouth_cricket,4,P
toyota_corona_hardtop,4,N
dodge_colt_hardtop,4,P
volkswagen_type_3,4,N
chevrolet_vega,4,P
ford_pinto_runabout,4,P
chevrolet_impala,8,P
pontiac_catalina,8,P
plymouth_fury_iii,8,P
ford_galaxie_500,8,P
amc_ambassador_sst,8,P
mercury_marquis,8,P
buick_lesabre_custom,8,P
oldsmobile_delta_88_royale,8,P
chrysler_newport_royal,8,P
mazda_rx2_coupe,3,N
amc_matador_(sw),8,P
chevrolet_chevelle_concours_(sw),8,P
ford_gran_torino_(sw),8,P
plymouth_satellite_custom_(sw),8,P
volvo_145e_(sw),4,N
volkswagen_411_(sw),4,N
peugeot_504_(sw),4,N
renault_12_(sw),4,N
ford_pinto_(sw),4,P
datsun_510_(sw),4,N
toyouta_corona_mark_ii_(sw),4,N
dodge_colt_(sw),4,P
toyota_corolla_1600_(sw),4,N
buick_century_350,8,P
amc_matador,8,P
chevrolet_malibu,8,P
ford_gran_torino,8,P
dodge_coronet_custom,8,P
mercury_marquis_brougham,8,P
chevrolet_caprice_classic,8,P
ford_ltd,8,P
plymouth_fury_gran_sedan,8,P
chrysler_new_yorker_brougham,8,P
buick_electra_225_custom,8,P
amc_ambassador_brougham,8,P
plymouth_valiant,6,P
chevrolet_nova_custom,6,P
amc_hornet,6,P
ford_maverick,6,P
plymouth_duster,6,P
volkswagen_super_beetle,4,N
chevrolet_impala,8,P
ford_country,8,P
plymouth_custom_suburb,8,P
oldsmobile_vista_cruiser,8,P
amc_gremlin,6,P
toyota_carina,4,N
chevrolet_vega,4,P
datsun_610,4,N
maxda_rx3,3,N
ford_pinto,4,P
mercury_capri_v6,6,P
fiat_124_sport_coupe,4,N
chevrolet_monte_carlo_s,8,P
pontiac_grand_prix,8,P
fiat_128,4,N
opel_manta,4,N
audi_100ls,4,N
volvo_144ea,4,N
dodge_dart_custom,8,P
saab_99le,4,N
toyota_mark_ii,6,N
oldsmobile_omega,8,P
plymouth_duster,6,P
ford_maverick,6,P
amc_hornet,6,P
chevrolet_nova,6,P
datsun_b210,4,N
ford_pinto,4,P
toyota_corolla_1200,4,N
chevrolet_vega,4,P
chevrolet_chevelle_malibu_classic,6,P
amc_matador,6,P
plymouth_satellite_sebring,6,P
ford_gran_torino,8,P
buick_century_luxus_(sw),8,P
dodge_coronet_custom_(sw),8,P
ford_gran_torino_(sw),8,P
amc_matador_(sw),8,P
audi_fox,4,N
volkswagen_dasher,4,N
opel_manta,4,N
toyota_corona,4,N
datsun_710,4,N
dodge_colt,4,P
fiat_128,4,N
fiat_124_tc,4,N
honda_civic,4,N
subaru,4,N
fiat_x1.9,4,N
plymouth_valiant_custom,6,P
chevrolet_nova,6,P
mercury_monarch,6,P
ford_maverick,6,P
pontiac_catalina,8,P
chevrolet_bel_air,8,P
plymouth_grand_fury,8,P
ford_ltd,8,P
buick_century,6,P
chevroelt_chevelle_malibu,6,P
amc_matador,6,P
plymouth_fury,6,P
buick_skyhawk,6,P
chevrolet_monza_2+2,8,P
ford_mustang_ii,8,P
toyota_corolla,4,N
ford_pinto,4,P
amc_gremlin,6,P
pontiac_astro,4,P
toyota_corona,4,N
volkswagen_dasher,4,N
datsun_710,4,N
ford_pinto,6,P
volkswagen_rabbit,4,N
amc_pacer,6,P
audi_100ls,4,N
peugeot_504,4,N
volvo_244dl,4,N
saab_99le,4,N
honda_civic_cvcc,4,N
fiat_131,4,N
opel_1900,4,N
capri_ii,4,P
dodge_colt,4,P
renault_12tl,4,N
chevrolet_chevelle_malibu_classic,8,P
dodge_coronet_brougham,8,P
amc_matador,8,P
ford_gran_torino,8,P
plymouth_valiant,6,P
chevrolet_nova,6,P
ford_maverick,6,P
amc_hornet,6,P
chevrolet_chevette,4,P
chevrolet_woody,4,P
vw_rabbit,4,N
honda_civic,4,N
dodge_aspen_se,6,P
ford_granada_ghia,6,P
pontiac_ventura_sj,6,P
amc_pacer_d/l,6,P
volkswagen_rabbit,4,N
datsun_b-210,4,N
toyota_corolla,4,N
ford_pinto,4,P
volvo_245,4,N
plymouth_volare_premier_v8,8,P
peugeot_504,4,N
toyota_mark_ii,6,N
mercedes-benz_280s,6,N
cadillac_seville,8,P
chevy_c10,8,P
ford_f108,8,P
dodge_d100,8,P
honda_accord_cvcc,4,N
buick_opel_isuzu_deluxe,4,P
renault_5_gtl,4,N
plymouth_arrow_gs,4,P
datsun_f-10_hatchback,4,N
chevrolet_caprice_classic,8,P
oldsmobile_cutlass_supreme,8,P
dodge_monaco_brougham,8,P
mercury_cougar_brougham,8,P
chevrolet_concours,6,P
buick_skylark,6,P
plymouth_volare_custom,6,P
ford_granada,6,P
pontiac_grand_prix_lj,8,P
chevrolet_monte_carlo_landau,8,P
chrysler_cordoba,8,P
ford_thunderbird,8,P
volkswagen_rabbit_custom,4,N
pontiac_sunbird_coupe,4,P
toyota_corolla_liftback,4,N
ford_mustang_ii_2+2,4,P
chevrolet_chevette,4,P
dodge_colt_m/m,4,P
subaru_dl,4,N
volkswagen_dasher,4,N
datsun_810,6,N
bmw_320i,4,N
mazda_rx-4,3,N
volkswagen_rabbit_custom_diesel,4,N
ford_fiesta,4,P
mazda_glc_deluxe,4,N
datsun_b210_gx,4,N
honda_civic_cvcc,4,N
oldsmobile_cutlass_salon_brougham,8,P
dodge_diplomat,8,P
mercury_monarch_ghia,8,P
pontiac_phoenix_lj,6,P
chevrolet_malibu,6,P
ford_fairmont_(auto),6,P
ford_fairmont_(man),4,P
plymouth_volare,6,P
amc_concord,6,P
buick_century_special,6,P
mercury_zephyr,6,P
dodge_aspen,6,P
amc_concord_d/l,6,P
chevrolet_monte_carlo_landau,8,P
buick_regal_sport_coupe_(turbo),6,P
ford_futura,8,P
dodge_magnum_xe,8,P
chevrolet_chevette,4,P
toyota_corona,4,N
datsun_510,4,N
dodge_omni,4,P
toyota_celica_gt_liftback,4,N
plymouth_sapporo,4,P
oldsmobile_starfire_sx,4,P
datsun_200-sx,4,N
audi_5000,5,N
volvo_264gl,6,N
saab_99gle,4,N
peugeot_604sl,6,N
volkswagen_scirocco,4,N
honda_accord_lx,4,N
pontiac_lemans_v6,6,P
mercury_zephyr_6,6,P
ford_fairmont_4,4,P
amc_concord_dl_6,6,P
dodge_aspen_6,6,P
chevrolet_caprice_classic,8,P
ford_ltd_landau,8,P
mercury_grand_marquis,8,P
dodge_st._regis,8,P
buick_estate_wagon_(sw),8,P
ford_country_squire_(sw),8,P
chevrolet_malibu_classic_(sw),8,P
chrysler_lebaron_town_@_country_(sw),8,P
vw_rabbit_custom,4,N
maxda_glc_deluxe,4,N
dodge_colt_hatchback_custom,4,P
amc_spirit_dl,4,P
mercedes_benz_300d,5,N
cadillac_eldorado,8,P
peugeot_504,4,N
oldsmobile_cutlass_salon_brougham,8,P
plymouth_horizon,4,P
plymouth_horizon_tc3,4,P
datsun_210,4,N
fiat_strada_custom,4,N
buick_skylark_limited,4,P
chevrolet_citation,6,P
oldsmobile_omega_brougham,6,P
pontiac_phoenix,4,P
vw_rabbit,4,N
toyota_corolla_tercel,4,N
chevrolet_chevette,4,P
datsun_310,4,N
chevrolet_citation,4,P
ford_fairmont,4,P
amc_concord,4,P
dodge_aspen,6,P
audi_4000,4,N
toyota_corona_liftback,4,N
mazda_626,4,N
datsun_510_hatchback,4,N
toyota_corolla,4,N
mazda_glc,4,N
dodge_colt,4,P
datsun_210,4,N
vw_rabbit_c_(diesel),4,N
vw_dasher_(diesel),4,N
audi_5000s_(diesel),5,N
mercedes-benz_240d,4,N
honda_civic_1500_gl,4,N
renault_lecar_deluxe,4,N
subaru_dl,4,N
vokswagen_rabbit,4,N
datsun_280-zx,6,N
mazda_rx-7_gs,3,N
triumph_tr7_coupe,4,N
ford_mustang_cobra,4,P
honda_accord,4,N
plymouth_reliant,4,P
buick_skylark,4,P
dodge_aries_wagon_(sw),4,P
chevrolet_citation,6,P
plymouth_reliant,4,P
toyota_starlet,4,N
plymouth_champ,4,P
honda_civic_1300,4,N
subaru,4,N
datsun_210_mpg,4,N
toyota_tercel,4,N
mazda_glc_4,4,N
plymouth_horizon_4,4,P
ford_escort_4w,4,P
ford_escort_2h,4,P
volkswagen_jetta,4,N
renault_18i,4,N
honda_prelude,4,N
toyota_corolla,4,N
datsun_200sx,4,N
mazda_626,4,N
peugeot_505s_turbo_diesel,4,N
saab_900s,4,N
volvo_diesel,6,N
toyota_cressida,6,N
datsun_810_maxima,6,N
buick_century,6,P
oldsmobile_cutlass_ls,8,P
ford_granada_gl,6,P
chrysler_lebaron_salon,6,P
chevrolet_cavalier,4,P
chevrolet_cavalier_wagon,4,P
chevrolet_cavalier_2-door,4,P
pontiac_j2000_se_hatchback,4,P
dodge_aries_se,4,P
pontiac_phoenix,4,P
ford_fairmont_futura,4,P
amc_concord_dl,4,P
volkswagen_rabbit_l,4,N
mazda_glc_custom_l,4,N
mazda_glc_custom,4,N
plymouth_horizon_miser,4,P
mercury_lynx_l,4,P
nissan_stanza_xe,4,N
honda_accord,4,N
toyota_corolla,4,N
honda_civic,4,N
honda_civic_(auto),4,N
datsun_310_gx,4,N
buick_century_limited,6,P
oldsmobile_cutlass_ciera_(diesel),6,P
chrysler_lebaron_medallion,4,P
ford_granada_l,6,P
toyota_celica_gt,4,N
dodge_charger_2.2,4,P
chevrolet_camaro,4,P
ford_mustang_gl,4,P
vw_pickup,4,N
dodge_rampage,4,P
ford_ranger,4,P
chevy_s-10,4,P